oblast_key,oblast_label,lat,lon
автономна республіка крим,Автономна Республіка Крим,45.3529,34.5054
вінницька,Вінницька область,49.2331,28.4682
волинська,Волинська область,50.7472,25.3254
дніпропетровська,Дніпропетровська область,48.4647,35.0462
донецька,Донецька область,48.0159,37.8029
житомирська,Житомирська область,50.2547,28.6587
закарпатська,Закарпатська область,48.6208,22.2879
запорізька,Запорізька область,47.8388,35.1396
івано-франківська,Івано-Франківська область,48.9226,24.7111
київська,Київська область,50.4501,30.5234
кіровоградська,Кіровоградська область,48.5079,32.2623
луганська,Луганська область,48.5740,39.3078
львівська,Львівська область,49.8397,24.0297
миколаївська,Миколаївська область,46.9750,31.9946
одеська,Одеська область,46.4825,30.7233
полтавська,Полтавська область,49.5883,34.5514
рівненська,Рівненська область,50.6199,26.2516
сумська,Сумська область,50.9077,34.7981
тернопільська,Тернопільська область,49.5535,25.5948
харківська,Харківська область,49.9935,36.2304
херсонська,Херсонська область,46.6354,32.6169
хмельницька,Хмельницька область,49.4229,26.9871
черкаська,Черкаська область,49.4444,32.0598
чернівецька,Чернівецька область,48.2915,25.9403
чернігівська,Чернігівська область,51.4982,31.2893
